7860.24806	 7.9728	0.011	  0
7860.26237	 8.0042	0.010	  0
7860.33693	 8.1341	0.010	  0
7860.35127	 8.1522	0.016	  0
7860.42583	 8.1433	0.011	  2
7860.44012	 8.1528	0.012	  0
7893.66984	 7.8753	0.012	  2
7893.74443	 8.0636	0.010	  0
7893.75871	 8.0743	0.012	  0
7916.24243	 7.7496	0.013	  2
7916.31702	 7.8958	0.011	  0
7916.33130	 7.9127	0.009	  0
7916.40589	 7.9733	0.009	  0
7916.42018	 7.9984	0.008	 64
7953.28058	 8.0133	0.010	  0
7953.29487	 8.0035	0.007	  8
7979.22892	 7.8970	0.021	  2
7979.24325	 7.8794	0.011	  0
7979.31782	 8.0576	0.010	  0
7979.33214	 8.0920	0.013	  0
7979.40671	 8.1660	0.011	  0
7979.42103	 8.1737	0.010	  0
8007.76667	 8.1511	0.009	  0
8007.84124	 8.1480	0.009	  0
8007.85554	 8.1787	0.010	  0
8007.93013	 8.0305	0.009	  8
8007.94442	 7.8694	0.010	  8
8041.26146	 8.1114	0.016	  1
8041.42493	 7.5973	0.011	  0
8060.88721	 7.9280	0.008	  0
8060.90155	 7.9504	0.009	  0
8060.97611	 8.0995	0.009	  0
8060.99046	 8.1187	0.010	  0
8061.06501	 8.1194	0.009	  0
8099.51993	 8.1203	0.011	  0
8099.53425	 8.1095	0.008	  0
8099.60883	 8.1340	0.010	  0
8099.62314	 8.1218	0.010	  0
8099.69771	 8.1194	0.010	  0
8099.71205	 8.1504	0.009	  0
8114.89489	 7.9973	0.012	  0
8114.90925	 8.0251	0.012	  0
8115.07267	 7.6805	0.011	  0
8152.55906	 7.5862	0.011	  0
8152.57340	 7.6338	0.008	  0
8152.64794	 7.7357	0.009	  0
8152.66228	 7.7781	0.011	  0
8172.99679	 7.4899	0.015	  0
8173.01113	 7.5392	0.012	  2
8173.08569	 7.7808	0.012	  0
8173.09997	 7.8301	0.011	  1
8204.44611	 8.1362	0.010	  0
8204.46044	 8.1454	0.009	  0
8204.53500	 8.1604	0.010	  0
8204.54932	 8.1763	0.010	  0
8233.85505	 7.9308	0.014	  0
8233.86936	 7.9641	0.019	  0
8234.03282	 8.1917	0.014	  0
8234.04713	 8.1792	0.015	  0
8258.21745	 8.0799	0.011	  0
8258.29203	 8.1253	0.010	  0
8258.30633	 8.1038	0.009	  0
8295.69931	 8.1286	0.009	  0
8295.71361	 8.1260	0.008	  0
8295.78821	 8.0843	0.010	  0
8295.80250	 8.0767	0.008	  0
8319.07196	 8.1735	0.014	  0
8319.08629	 8.1850	0.014	  0
8351.68218	 7.8418	0.011	  0
8381.99530	 8.1215	0.015	  0
8382.06989	 7.4989	0.010	  0
8382.08422	 7.4348	0.010	  0
8404.99681	 7.9353	0.009	  0
8405.01114	 7.9714	0.009	  0
8405.08571	 8.1175	0.009	  0
8405.10006	 8.1376	0.008	  0
8405.17462	 8.1795	0.011	  0
8442.21957	 7.2257	0.011	  0
8442.23387	 7.3029	0.012	  0
8442.30846	 7.6221	0.014	  0
8442.32276	 7.6590	0.018	  0
8458.21673	 7.8817	0.017	  0
8458.23110	 7.8849	0.012	  0
8458.30560	 8.0163	0.014	  0
8497.03454	 8.0598	0.009	  0
8497.04886	 8.0886	0.013	  0
8497.13778	 7.5191	0.012	  2
8514.64436	 8.1737	0.009	  0
8514.73325	 7.6717	0.008	  0
8548.86291	 7.6356	0.008	  0
8548.96612	 7.8478	0.008	  0
8574.45214	 7.9299	0.019	  0
8574.46642	 7.9097	0.008	  0
8574.54101	 8.0335	0.011	  0
8574.55533	 8.0579	0.009	  0
8574.62989	 8.0606	0.009	  0
8574.64420	 8.0497	0.008	  0
8601.55223	 7.4915	0.010	  0
8601.56652	 7.5685	0.010	  0
8601.64108	 7.7911	0.012	  0
8636.64827	 7.2914	0.010	  0
8636.66259	 7.3483	0.009	  0
8636.73716	 7.6454	0.011	  0
8636.75151	 7.6830	0.008	  0
8636.82605	 7.8806	0.007	  0
8636.91496	 8.0663	0.010	  0
8658.96904	 7.9590	0.014	  0
8659.13250	 8.0650	0.007	  0
8659.14680	 8.0760	0.009	  0
8659.22139	 8.0519	0.010	  0
8695.02997	 7.5141	0.017	  0
8695.04429	 7.5434	0.010	  0
8722.39908	 7.8563	0.010	  0
8722.41341	 7.8889	0.011	  0
8748.98244	 7.6691	0.012	  0
8749.14590	 8.0277	0.013	  0
8783.88312	 8.1432	0.012	  1
8783.89746	 8.1607	0.008	  1
8783.97201	 7.7105	0.010	  1
8783.98636	 7.6408	0.010	  1
8801.92389	 8.0968	0.019	  0
8802.01280	 8.1002	0.010	  0
8802.10167	 7.7250	0.008	  0
8802.11602	 7.5143	0.007	  0
8945.49652	 8.0786	0.021	  1
8945.59702	 7.3774	0.014	  0
8978.47127	 7.4418	0.011	  0
8978.48559	 7.4844	0.010	  0
8978.56013	 7.7064	0.011	  0
8978.57448	 7.7638	0.011	  0
8978.64904	 7.9236	0.014	  0
9025.66204	 7.8279	0.013	  0
9025.67637	 7.8763	0.014	  0
9025.75090	 8.0517	0.011	  0
9025.94365	 8.1563	0.010	  0

